id,ubicacion,cifra,contexto,fuente_archivo,metodo_calculo,fecha_corte,estado,notas
sNAC8-007,sNAC8 Card Extorsión max histórico,82 carpetas abr-2026,Máximo histórico mensual extorsión Morelos,SESNSP/RNID Estatal 2026,Sum subtipos abr-2026: Extorsión + Ext. presencial + Ext. otros medios = 82. Comparado vs todo histórico mensual desde 2015 → máximo,2026-04,VERIFICADO,Top 10 histórico confirma máximo
sNAC8-008,sNAC8 Card Lesiones culposas,+24.5%,Lesiones culposas 6m simétricos,SESNSP/delitos_estatales,Base 6m=1514 · Comp 6m=1885 · (1885-1514)/1514 = +24.5%,2026-04,VERIFICADO,
sNAC8-009,sNAC8 Card Otros delitos vida,+24.3%,Otros delitos contra la vida 6m sim,SESNSP/delitos_estatales,Base 6m=267 · Comp 6m=332 · (332-267)/267 = +24.3%,2026-04,VERIFICADO,Categoría residual SESNSP
sNAC8-010,sNAC8 Card Homicidio culposo,-24.7%,Homicidio culposo 6m simétricos,SESNSP/delitos_estatales,Base 6m=223 · Comp 6m=168 · (168-223)/223 = -24.7%,2026-04,VERIFICADO,Descarta reclasificación clásica HD→accidente
sAC-001,sAC Chart Divergente Servidores Públicos,+111.8%,Servidores públicos delitos 6m sim Morelos,SESNSP/delitos_estatales 2015-2025 + RNID 2026,Base 6m=34 · Comp 6m=72 · (72-34)/34 = +111.8%,2026-04,VERIFICADO,
sAC-002,sAC Chart Allanamiento de morada,+46.7%,Allanamiento 6m sim Morelos,SESNSP/delitos_estatales,Base 6m=137 · Comp 6m=201,2026-04,VERIFICADO,
sAC-003,sAC Chart Hostigamiento sexual,+21.7%,Hostigamiento sexual 6m sim,SESNSP/delitos_estatales,Base 6m=46 · Comp 6m=56,2026-04,VERIFICADO,
sAC-004,sAC Chart Violencia familiar,+18.9%,Violencia familiar 6m sim,SESNSP/delitos_estatales,Base 6m=2693 · Comp 6m=3201,2026-04,VERIFICADO,
sAC-005,sAC Chart HD víctimas 6m,-8.5%,Variación honesta HD víctimas 6m simétricos,SESNSP/victimas_estatales,Base nov-24+dic-24=128+98=226 + ene-25..abr-25 (víctimas)=108+83+95+90=376 → 602. Comp nov-25+dic-25 víctimas=106+93=199 + ene-26..abr-26 carpetas=90+76+89+97=352 → 551 (proxy mezclando víctimas 2025 + carpetas 2026). (551-602)/602 = -8.5%,2026-04,VERIFICADO_PROXY,Comparativo mezcla víctimas 2025 + carpetas 2026 porque víctimas 2026 no publicadas aún. Es cota aproximada.
sAC-006,sAC Serie temporal HD pico abr-2024,179 víctimas / 5.97 día,Pico de violencia letal Morelos 2024,SESNSP/victimas_estatales,Abril 2024 / 30 días,2026-04,VERIFICADO,
sAC-007,sAC Serie temporal HD baja jul-2024,108 víctimas / 3.48 día,Mes en que arranca la caída,SESNSP/victimas_estatales,Julio 2024 / 31 días,2026-04,VERIFICADO,Antes oct-2024 toma protesta Sheinbaum
sAC-008,sAC Serie temporal HD baseline Harfuch nov-2024,128 víctimas / 4.27 día,Baseline declaración Harfuch,SESNSP/victimas_estatales,Noviembre 2024 / 30 días,2026-04,VERIFICADO,
sNAC7-001,sNAC7 Cifra oficial nacional,-40%,HD promedio diario nacional sep-2024 → abr-2026,Declaración Mtra. Marcela Figueroa Franco titular SESNSP · mañanera 12-may-2026,"Persona y cargo verificados vs gob.mx/sesnsp/estructuras + prensa (SinEmbargo, Tribuna, Excélsior, Pulso SLP, El Heraldo). Designada titular SESNSP por Sheinbaum en octubre 2024. Cifra del 40% confirmada en cobertura mediática 12-may-2026",2026-04,VERIFICADO,Verificación web cruzada · 3+ medios + página oficial gob.mx confirman nombre completo y cargo
sNAC7-002,sNAC7 cálculo propio,+34%,Promedio mensual desapariciones nuevas registradas,EXCEL - SEGURIDAD MORELOS/rnpdno_data.csv (calculado en sesión previa),Sep-2023 a ago-2024 = 540/mes baseline · Sep-2024 a nov-2025 = 723/mes comp · +33.9%,2025-12-01,VERIFICADO_PREVIO,Cálculo previo del proyecto. No re-validado en esta auditoría · TODO Phase B
sNAC7-003,sNAC7 confidencial total nacional,48418 / 37.4%,Total nacional confidenciales RNPDNO,EXCEL - SEGURIDAD MORELOS/rnpdno_data.csv,Sumar confidenciales en las 32 entidades nombradas,2025-12-01,VERIFICADO_PREVIO,No re-validado en esta auditoría · TODO Phase B
sCOL-001,sCOL columna - todos los datos,--,Columna editorial sobre -62.8%,Mismas fuentes que sNAC8 + Campbell 1976,Cifras de sCOL = subset de las ya verificadas en sNAC8 + métricas alternativas en sNAC8-001..004,2026-04,CONSISTENTE,Columna construida sobre cifras ya auditadas. Ley de Campbell verificable en bibliografía
sCOL-002,sCOL referencia bibliográfica,Campbell 1976,Cita Ley de Campbell,"Donald T. Campbell, 'Assessing the Impact of Planned Social Change', Dartmouth College Occasional Paper Series, 1976",Referencia académica estándar · papel de archivo Dartmouth disponible,1976,VERIFICADO_BIBLIOGRAFICO,Referencia clásica · verificable en Google Scholar
sCOL-003,sCOL referencia bibliográfica,Silverman & Eterno 2012,Cita CompStat,"Eli B. Silverman & John A. Eterno, 'The Crime Numbers Game: Management by Manipulation', CRC Press 2012",Referencia académica revisada,2012,VERIFICADO_BIBLIOGRAFICO,Libro publicado por CRC Press · verificable
muni-amacuzac-001,Ficha municipal Amacuzac,99,Total delitos 2024 Amacuzac,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Amacuzac columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-amacuzac-002,Ficha municipal Amacuzac,101,Total delitos 2025 Amacuzac,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Amacuzac columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-amacuzac-003,Ficha municipal Amacuzac,+2.0%,Variación AxA total delitos Amacuzac,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (101-99)/99*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-atlatlahucan-001,Ficha municipal Atlatlahucan,404,Total delitos 2024 Atlatlahucan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Atlatlahucan columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-atlatlahucan-002,Ficha municipal Atlatlahucan,368,Total delitos 2025 Atlatlahucan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Atlatlahucan columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-atlatlahucan-003,Ficha municipal Atlatlahucan,-8.9%,Variación AxA total delitos Atlatlahucan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (368-404)/404*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-axochiapan-001,Ficha municipal Axochiapan,325,Total delitos 2024 Axochiapan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Axochiapan columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-axochiapan-002,Ficha municipal Axochiapan,320,Total delitos 2025 Axochiapan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Axochiapan columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-axochiapan-003,Ficha municipal Axochiapan,-1.5%,Variación AxA total delitos Axochiapan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (320-325)/325*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-ayala-001,Ficha municipal Ayala,847,Total delitos 2024 Ayala,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Ayala columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-ayala-002,Ficha municipal Ayala,787,Total delitos 2025 Ayala,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Ayala columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-ayala-003,Ficha municipal Ayala,-7.1%,Variación AxA total delitos Ayala,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (787-847)/847*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-coatetelco-001,Ficha municipal Coatetelco,102,Total delitos 2024 Coatetelco,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Coatetelco columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-coatetelco-002,Ficha municipal Coatetelco,114,Total delitos 2025 Coatetelco,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Coatetelco columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-coatetelco-003,Ficha municipal Coatetelco,+11.8%,Variación AxA total delitos Coatetelco,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (114-102)/102*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-coatlan_rio-001,Ficha municipal Coatlán del Río,159,Total delitos 2024 Coatlán del Río,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Coatlán del Río columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-coatlan_rio-002,Ficha municipal Coatlán del Río,136,Total delitos 2025 Coatlán del Río,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Coatlán del Río columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-coatlan_rio-003,Ficha municipal Coatlán del Río,-14.5%,Variación AxA total delitos Coatlán del Río,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (136-159)/159*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-cuautla-001,Ficha municipal Cuautla,6361,Total delitos 2024 Cuautla,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Cuautla columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-cuautla-002,Ficha municipal Cuautla,7543,Total delitos 2025 Cuautla,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Cuautla columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-cuautla-003,Ficha municipal Cuautla,+18.6%,Variación AxA total delitos Cuautla,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (7543-6361)/6361*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-cuernavaca-001,Ficha municipal Cuernavaca,15078,Total delitos 2024 Cuernavaca,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Cuernavaca columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-cuernavaca-002,Ficha municipal Cuernavaca,13863,Total delitos 2025 Cuernavaca,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Cuernavaca columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-cuernavaca-003,Ficha municipal Cuernavaca,-8.1%,Variación AxA total delitos Cuernavaca,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (13863-15078)/15078*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-emiliano_zapata-001,Ficha municipal Emiliano Zapata,2033,Total delitos 2024 Emiliano Zapata,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Emiliano Zapata columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-emiliano_zapata-002,Ficha municipal Emiliano Zapata,2040,Total delitos 2025 Emiliano Zapata,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Emiliano Zapata columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-emiliano_zapata-003,Ficha municipal Emiliano Zapata,+0.3%,Variación AxA total delitos Emiliano Zapata,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (2040-2033)/2033*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-hueyapan-001,Ficha municipal Hueyapan,29,Total delitos 2024 Hueyapan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Hueyapan columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-hueyapan-002,Ficha municipal Hueyapan,27,Total delitos 2025 Hueyapan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Hueyapan columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-hueyapan-003,Ficha municipal Hueyapan,-6.9%,Variación AxA total delitos Hueyapan,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (27-29)/29*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-huitzilac-001,Ficha municipal Huitzilac,858,Total delitos 2024 Huitzilac,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Huitzilac columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-huitzilac-002,Ficha municipal Huitzilac,840,Total delitos 2025 Huitzilac,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Huitzilac columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-huitzilac-003,Ficha municipal Huitzilac,-2.1%,Variación AxA total delitos Huitzilac,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (840-858)/858*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jantetelco-001,Ficha municipal Jantetelco,136,Total delitos 2024 Jantetelco,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jantetelco columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jantetelco-002,Ficha municipal Jantetelco,188,Total delitos 2025 Jantetelco,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jantetelco columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jantetelco-003,Ficha municipal Jantetelco,+38.2%,Variación AxA total delitos Jantetelco,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (188-136)/136*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jiutepec-001,Ficha municipal Jiutepec,4902,Total delitos 2024 Jiutepec,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jiutepec columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jiutepec-002,Ficha municipal Jiutepec,4191,Total delitos 2025 Jiutepec,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jiutepec columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jiutepec-003,Ficha municipal Jiutepec,-14.5%,Variación AxA total delitos Jiutepec,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (4191-4902)/4902*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jojutla-001,Ficha municipal Jojutla,1996,Total delitos 2024 Jojutla,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jojutla columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jojutla-002,Ficha municipal Jojutla,2053,Total delitos 2025 Jojutla,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jojutla columna año=2025 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jojutla-003,Ficha municipal Jojutla,+2.9%,Variación AxA total delitos Jojutla,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,(2025-2024)/2024*100 = (2053-1996)/1996*100,2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
muni-jonacatepec-001,Ficha municipal Jonacatepec de Leandro Valle,246,Total delitos 2024 Jonacatepec de Leandro Valle,EXCEL - SEGURIDAD MORELOS/TablaDinámica-Municipal Delitos - DICIEMBRE 2025-corteFebrero2026.xlsx,Hoja 'CuboMunicipal' fila municipio=Jonacatepec de Leandro Valle columna año=2024 (suma todos delitos),2026-02,VERIFICADO,Auditoría Fase B municipal · cruzado vs HTML dashboard
